Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
M. Yang; C. -H. Yeh; Y. Zhou; J. P. Cerqueira; A. A. Lazar; M. Seok,M. Yang; C. -H. Yeh; Y. Zhou; J. P. Cerqueira; A. A. Lazar; M. Seok,,"Design of an Always-On Deep Neural Network-Based 1- $\mu$ W Voice Activity Detector Aided With a Customized Software Model for Analog Feature Extraction,",2019,IEEE Journal of Solid-State Circuits,54,6,,1764,1777,,10.1109/JSSC.2019.2894360,https://doi.org/10.1109/JSSC.2019.2894360,Journal Article
S. Sinha et al.,S. Sinha et al.,,"Exploring Bitslicing Architectures for Enabling FHE-Assisted Machine Learning,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,11,,4004,4015,,10.1109/TCAD.2022.3204909,https://doi.org/10.1109/TCAD.2022.3204909,Journal Article
S. Woo; P. Vanna-iampikul; S. K. Lim,S. Woo; P. Vanna-iampikul; S. K. Lim,,"AI-Driven Evaluation and Optimization of Bump Pitch Effects on Chiplet and Interposer Design Quality,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1145/3676536.3676817,https://doi.org/10.1145/3676536.3676817,Conference Paper
Z. Li; A. Chan Carusone,Z. Li; A. Chan Carusone,,"An Open-Source AMS Circuit Optimization Framework Based on Reinforcement Learning—From Specifications to Layouts,",2024,IEEE Access,12,,,150032,150045,,10.1109/ACCESS.2024.3478832,https://doi.org/10.1109/ACCESS.2024.3478832,Journal Article
C. Ioannides; G. Barrett; K. Eder,C. Ioannides; G. Barrett; K. Eder,,"Introducing XCS to Coverage Directed test Generation,",2011,2011 IEEE International High Level Design Validation and Test Workshop,,,,57,64,,10.1109/HLDVT.2011.6114166,https://doi.org/10.1109/HLDVT.2011.6114166,Conference Paper
BolunLi; W. Cao; B. Wu,BolunLi; W. Cao; B. Wu,,"Clock Domain Crossing Aware RTL Synthesis using Fusion Compiler in Commercial Display Chip Design,",2024,2024 4th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),,,,523,526,,10.1109/AIIM64537.2024.10934572,https://doi.org/10.1109/AIIM64537.2024.10934572,Conference Paper
L. Zhu; X. Guo,L. Zhu; X. Guo,,"Delay-Driven Physically-Aware Logic Synthesis with Informed Search,",2023,2023 IEEE 41st International Conference on Computer Design (ICCD),,,,327,335,,10.1109/ICCD58817.2023.00057,https://doi.org/10.1109/ICCD58817.2023.00057,Conference Paper
J. M. Willenbring; S. S. Shende; T. Gamblin,J. M. Willenbring; S. S. Shende; T. Gamblin,,"Providing a Flexible and Comprehensive Software Stack Via Spack, an Extreme-Scale Scientific Software Stack, and Software Development Kits,",2024,Computing in Science & Engineering,26,1,,20,30,,10.1109/MCSE.2024.3395016,https://doi.org/10.1109/MCSE.2024.3395016,Journal Article
Y. Dong et al.,Y. Dong et al.,,"Fast and Effective Logic Gate Sizing Based on Heterogeneous Graph Neural Network,",2025,2025 International Symposium of Electronics Design Automation (ISEDA),,,,299,304,,10.1109/ISEDA65950.2025.11101548,https://doi.org/10.1109/ISEDA65950.2025.11101548,Conference Paper
V. N. Kumar; B. B. Shabarinath; Y. P. Sai; G. Shailima; D. Manikanta; G. H. Vardhan,V. N. Kumar; B. B. Shabarinath; Y. P. Sai; G. Shailima; D. Manikanta; G. H. Vardhan,,"Hardware Accelerated Deep Learning Technique Using PYNQ for Pneumonia Diagnosis,",2025,2025 9th International Conference on Inventive Systems and Control (ICISC),,,,1544,1548,,10.1109/ICISC65841.2025.11187760,https://doi.org/10.1109/ICISC65841.2025.11187760,Conference Paper
V. K. Kalyanam; P. G. Sassone; J. A. Abraham,V. K. Kalyanam; P. G. Sassone; J. A. Abraham,,"Power prediction of embedded scalar and vector processor: Challenges and solutions,",2017,2017 18th International Symposium on Quality Electronic Design (ISQED),,,,221,228,,10.1109/ISQED.2017.7918320,https://doi.org/10.1109/ISQED.2017.7918320,Conference Paper
H. Geng; W. Zhong; H. Yang; Y. Ma; J. Mitra; B. Yu,H. Geng; W. Zhong; H. Yang; Y. Ma; J. Mitra; B. Yu,,"SRAF Insertion via Supervised Dictionary Learning,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,10,,2849,2859,,10.1109/TCAD.2019.2943568,https://doi.org/10.1109/TCAD.2019.2943568,Journal Article
J. Hu; A. B. Kahng,J. Hu; A. B. Kahng,,"Invited Paper: The Inevitability of AI Infusion Into Design Closure and Signoff,",2023,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),,,,1,7,,10.1109/ICCAD57390.2023.10323684,https://doi.org/10.1109/ICCAD57390.2023.10323684,Conference Paper
A. De Geus,A. De Geus,,"Catalyzing the Impossible: Silicon, Software, and Smarts for the SysMoore Era,",2022,2022 IEEE International Solid-State Circuits Conference (ISSCC),,,,10,16,,10.1109/ISSCC42614.2022.9731643,https://doi.org/10.1109/ISSCC42614.2022.9731643,Conference Paper
J. Hutchins et al.,J. Hutchins et al.,,"A Generalized Workflow for Creating Machine Learning-Powered Compact Models for Multi-State Devices,",2022,IEEE Access,10,,,115513,115519,,10.1109/ACCESS.2022.3218333,https://doi.org/10.1109/ACCESS.2022.3218333,Journal Article
D. Garcia-Gasulla et al.,D. Garcia-Gasulla et al.,,"TuRTLe: A Unified Evaluation of LLMs for RTL Generation,",2025,2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),,,,1,12,,10.1109/MLCAD65511.2025.11189228,https://doi.org/10.1109/MLCAD65511.2025.11189228,Conference Paper
J. Sun,J. Sun,,"Predictive AI for the 3D-IC Design Process Reduces the Iteration,",2024,2024 International VLSI Symposium on Technology,,,,1,5,,10.1109/VLSITSA60681.2024.10546344,https://doi.org/10.1109/VLSITSA60681.2024.10546344,Conference Paper
Z. Wei; A. Arora; R. Li; L. John,Z. Wei; A. Arora; R. Li; L. John,,"HLSDataset: Open-Source Dataset for ML-Assisted FPGA Design using High Level Synthesis,",2023,2023 IEEE 34th International Conference on Application-specific Systems,,,,197,204,,10.1109/ASAP57973.2023.00040,https://doi.org/10.1109/ASAP57973.2023.00040,Conference Paper
C. Thingom; A. S. M. Antony; B. Trinadha; R. V; S. S. Kumar; A. Sharma,C. Thingom; A. S. M. Antony; B. Trinadha; R. V; S. S. Kumar; A. Sharma,,"AI-Assisted Design of Power Electronic Circuits,",2025,2025 Global Conference in Emerging Technology (GINOTECH),,,,1,5,,10.1109/GINOTECH63460.2025.11076945,https://doi.org/10.1109/GINOTECH63460.2025.11076945,Conference Paper
A. Safaei; Q. M. J. Wu; T. Akilan; Y. Yang,A. Safaei; Q. M. J. Wu; T. Akilan; Y. Yang,,"System-on-a-Chip (SoC)-Based Hardware Acceleration for an Online Sequential Extreme Learning Machine (OS-ELM),",2019,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,38,11,,2127,2138,,10.1109/TCAD.2018.2878162,https://doi.org/10.1109/TCAD.2018.2878162,Journal Article
J. Zhang; C. Qian; D. Huo; J. Zhang; H. Chen,J. Zhang; C. Qian; D. Huo; J. Zhang; H. Chen,,"Designing Self-timed Asynchronous Circuits with Chisel,",2023,2023 28th IEEE International Symposium on Asynchronous Circuits and Systems (ASYNC),,,,27,33,,10.1109/ASYNC58294.2023.10239616,https://doi.org/10.1109/ASYNC58294.2023.10239616,Conference Paper
