Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
A. Stern; H. Wang; F. Rahman; F. Farahmandi; M. Tehranipoor,A. Stern; H. Wang; F. Rahman; F. Farahmandi; M. Tehranipoor,,"ACED-IT: Assuring Confidential Electronic Design Against Insider Threats in a Zero-Trust Environment,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,10,,3202,3215,,10.1109/TCAD.2021.3127864,https://doi.org/10.1109/TCAD.2021.3127864,Journal Article
J. Shen et al.,J. Shen et al.,,"Atelier: An Automated Analog Circuit Design Framework via Multiple Large Language Model-Based Agents,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,45,1,,31,44,,10.1109/TCAD.2025.3573228,https://doi.org/10.1109/TCAD.2025.3573228,Journal Article
A. Dimitriou; L. Xun; J. Hare; G. V. Merrett,A. Dimitriou; L. Xun; J. Hare; G. V. Merrett,,"Realization of Early-Exit Dynamic Neural Networks on Reconfigurable Hardware,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,6,,2195,2203,,10.1109/TCAD.2024.3519055,https://doi.org/10.1109/TCAD.2024.3519055,Journal Article
A. Stefanidis; D. Mangiras; C. Nicopoulos; G. Dimitrakopoulos,A. Stefanidis; D. Mangiras; C. Nicopoulos; G. Dimitrakopoulos,,"Multi-Armed Bandits for Autonomous Timing-driven Design Optimization,",2019,2019 29th International Symposium on Power and Timing Modeling,,,,17,22,,10.1109/PATMOS.2019.8862056,https://doi.org/10.1109/PATMOS.2019.8862056,Conference Paper
Z. Lin; T. Liang; J. Zhao; S. Sinha; W. Zhang,Z. Lin; T. Liang; J. Zhao; S. Sinha; W. Zhang,,"HL-Pow: Learning-Assisted Pre-RTL Power Modeling and Optimization for FPGA HLS,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,11,,3925,3938,,10.1109/TCAD.2023.3246387,https://doi.org/10.1109/TCAD.2023.3246387,Journal Article
Y. Wang; B. Feng; G. Li; L. Deng; Y. Xie; Y. Ding,Y. Wang; B. Feng; G. Li; L. Deng; Y. Xie; Y. Ding,,"STPAcc: Structural TI-Based Pruning for Accelerating Distance-Related Algorithms on CPU-FPGA Platforms,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,5,,1358,1370,,10.1109/TCAD.2021.3093394,https://doi.org/10.1109/TCAD.2021.3093394,Journal Article
B. Ravikumar; B. Premalatha; M. A. Naqi; M. Amru,B. Ravikumar; B. Premalatha; M. A. Naqi; M. Amru,,"Dynamic Clockless Digital Systems Designed for Secure and Low-Power Operation in Battery-Constrained Environments,",2025,2025 International Conference on Innovations and Emerging Technologies In AI & Communication Systems (IETACS),,,,1345,1351,,10.1109/IETACS68750.2025.11385551,https://doi.org/10.1109/IETACS68750.2025.11385551,Conference Paper
R. Netto et al.,R. Netto et al.,,"Algorithm Selection Framework for Legalization Using Deep Convolutional Neural Networks and Transfer Learning,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,5,,1481,1494,,10.1109/TCAD.2021.3079126,https://doi.org/10.1109/TCAD.2021.3079126,Journal Article
H. Xu et al.,H. Xu et al.,,"MULSAM: Multidimensional Attention With Hardware Acceleration for Efficient Intrusion Detection on Vehicular CAN Bus,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,9,,3274,3288,,10.1109/TCAD.2025.3541566,https://doi.org/10.1109/TCAD.2025.3541566,Journal Article
M. Odema; L. Chen; M. Levorato; M. A. A. Faruque,M. Odema; L. Chen; M. Levorato; M. A. A. Faruque,,"Testudo: Collaborative Intelligence for Latency-Critical Autonomous Systems,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,6,,1770,1783,,10.1109/TCAD.2022.3211480,https://doi.org/10.1109/TCAD.2022.3211480,Journal Article
L. Hu; C. Hei; F. Li; C. Gao; J. Shen; X. Wang,L. Hu; C. Hei; F. Li; C. Gao; J. Shen; X. Wang,,"SmartTC: A Real-Time ML-Based Traffic Classification with Smartnic,",2025,2025 IEEE/ACM 33rd International Symposium on Quality of Service (IWQoS),,,,1,10,,10.1109/IWQoS65803.2025.11143536,https://doi.org/10.1109/IWQoS65803.2025.11143536,Conference Paper
W. Xu et al.,W. Xu et al.,,"Tri-HD: Energy-Efficient On-Chip Learning With In-Memory Hyperdimensional Computing,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,2,,525,539,,10.1109/TCAD.2024.3435679,https://doi.org/10.1109/TCAD.2024.3435679,Journal Article
L. Liang et al.,L. Liang et al.,,"H2Learn: High-Efficiency Learning Accelerator for High-Accuracy Spiking Neural Networks,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,11,,4782,4796,,10.1109/TCAD.2021.3138347,https://doi.org/10.1109/TCAD.2021.3138347,Journal Article
R. Andri; L. Cavigelli; D. Rossi; L. Benini,R. Andri; L. Cavigelli; D. Rossi; L. Benini,,"YodaNN: An Architecture for Ultralow Power Binary-Weight CNN Acceleration,",2018,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,37,1,,48,60,,10.1109/TCAD.2017.2682138,https://doi.org/10.1109/TCAD.2017.2682138,Journal Article
Z. Lin; S. Sinha; W. Zhang,Z. Lin; S. Sinha; W. Zhang,,"Hard-ODT: Hardware-Friendly Online Decision Tree Learning Algorithm and System,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,11,,2279,2292,,10.1109/TCAD.2020.3043328,https://doi.org/10.1109/TCAD.2020.3043328,Journal Article
X. Zhang et al.,X. Zhang et al.,,"From Contrastive to Generative Alignment: Large-Scale Hierarchical Multi-Modal Pre-training for Hotspot Detection,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2026.3660602,https://doi.org/10.1109/TCAD.2026.3660602,Journal Article
Y. Zhang et al.,Y. Zhang et al.,,"Para-Pipe: Exploiting Hierarchical Operator Parallelism of ML Computational Graphs on SoCs,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,12,,4472,4485,,10.1109/TCAD.2025.3568348,https://doi.org/10.1109/TCAD.2025.3568348,Journal Article
A. Devgan,A. Devgan,,"Powering the AI Supercycle: Design for AI and AI for Design,",2026,2026 IEEE International Solid-State Circuits Conference (ISSCC),,,,26,34,,10.1109/ISSCC49663.2026.11409305,https://doi.org/10.1109/ISSCC49663.2026.11409305,Conference Paper
M. Ma; J. Hou; D. Xiang; W. Lin; Z. Ding,M. Ma; J. Hou; D. Xiang; W. Lin; Z. Ding,,"Efficient Pipelining of Synchronous Dataflow Graphs Via Graph Conversion,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,6,,1704,1714,,10.1109/TCAD.2024.3355190,https://doi.org/10.1109/TCAD.2024.3355190,Journal Article
W. Cao; L. Ke; A. Chakrabarti; X. Zhang,W. Cao; L. Ke; A. Chakrabarti; X. Zhang,,"Evaluating Neural Network-Inspired Analog-to-Digital Conversion With Low-Precision RRAM,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,5,,808,821,,10.1109/TCAD.2020.3013563,https://doi.org/10.1109/TCAD.2020.3013563,Journal Article
L. Burgholzer; R. Wille,L. Burgholzer; R. Wille,,"Advanced Equivalence Checking for Quantum Circuits,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,9,,1810,1824,,10.1109/TCAD.2020.3032630,https://doi.org/10.1109/TCAD.2020.3032630,Journal Article
D. Filippas et al.,D. Filippas et al.,,"A High-Level Synthesis Library for Synthesizing Efficient and Functional-Safe CNN Dataflow Accelerators,",2024,IEEE Access,12,,,57194,57208,,10.1109/ACCESS.2024.3390422,https://doi.org/10.1109/ACCESS.2024.3390422,Journal Article
